source,run_id,numeric_run_id,model,instruction_type,honesty_level,return_policy,trial,statement_true,investment,payoff,previous_payoff,cumulative_return_rate_before,cumulative_truth_rate_before
v9,v9_6,6,MiniMax-M2.7,natural,high,fair_high,14,True,5,14,14,0.596,0.769
v9,v9_6,6,MiniMax-M2.7,natural,high,fair_high,15,True,6,16,14,0.596,0.786
v9,v9_6,6,MiniMax-M2.7,natural,high,fair_high,16,False,5,16,16,0.6,0.8
v9,v9_6,6,MiniMax-M2.7,natural,high,fair_high,17,True,5,13,16,0.609,0.75
v9,v9_6,6,MiniMax-M2.7,natural,high,fair_high,18,True,6,13,13,0.606,0.765
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,True,0,10,,,
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,True,0,10,10,0.5,1.0
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,False,0,10,10,0.525,1.0
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,True,0,10,10,0.533,0.667
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,0,10,10,0.525,0.75
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,False,0,10,10,0.51,0.8
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,True,0,10,10,0.542,0.667
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,True,0,10,10,0.543,0.714
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,0,10,10,0.55,0.75
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,True,0,10,10,0.567,0.778
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,0,10,10,0.555,0.8
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,True,0,10,10,0.55,0.818
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,True,0,10,10,0.554,0.833
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,False,0,10,10,0.569,0.846
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,False,0,10,10,0.579,0.786
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,True,0,10,10,0.583,0.733
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,True,0,10,10,0.588,0.75
v9,v9_7,7,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,True,0,10,10,0.591,0.765
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,False,0,10,,,
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,True,0,10,10,0.55,0.0
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,False,0,10,10,0.5,0.5
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,True,0,10,10,0.5,0.333
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,0,10,10,0.512,0.5
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,True,0,10,10,0.54,0.6
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,True,0,10,10,0.567,0.667
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,True,1,10,10,0.557,0.714
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,0,10,10,0.544,0.75
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,True,2,11,10,0.544,0.778
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,3,13,11,0.54,0.8
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,False,5,14,13,0.55,0.818
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,True,7,17,14,0.554,0.75
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,True,5,16,17,0.562,0.769
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,True,8,16,16,0.575,0.786
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,True,8,19,16,0.577,0.8
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,False,7,18,19,0.584,0.812
v9,v9_8,8,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,True,10,22,18,0.591,0.765
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,True,0,10,,,
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,True,0,10,10,0.5,1.0
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,False,0,10,10,0.5,1.0
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,True,0,10,10,0.517,0.667
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,5,14,10,0.5,0.75
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,False,0,10,14,0.52,0.8
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,True,5,15,10,0.525,0.667
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,False,5,13,15,0.55,0.714
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,5,13,13,0.55,0.625
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,True,5,16,13,0.544,0.667
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,5,15,16,0.565,0.7
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,True,5,15,15,0.577,0.727
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,True,5,12,15,0.588,0.75
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,True,5,15,12,0.577,0.769
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,True,5,15,15,0.582,0.786
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,True,5,16,15,0.587,0.8
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,True,5,14,16,0.597,0.812
v9,v9_9,9,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,False,5,15,14,0.597,0.824
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,True,0,10,,,
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,False,0,10,10,0.5,1.0
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,True,3,11,10,0.575,0.5
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,False,5,15,11,0.55,0.667
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,7,17,15,0.587,0.5
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,True,10,15,17,0.6,0.6
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,False,6,16,15,0.583,0.667
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,True,8,13,16,0.593,0.571
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,5,12,13,0.575,0.625
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,True,6,17,12,0.561,0.667
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,4,13,17,0.575,0.7
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,True,5,14,13,0.573,0.727
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,True,7,19,14,0.575,0.75
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,True,5,15,19,0.588,0.769
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,False,4,13,15,0.596,0.786
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,True,6,14,13,0.593,0.733
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,True,7,16,14,0.591,0.75
v9,v9_10,10,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,True,6,18,16,0.591,0.765
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,False,0,10,,,
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,False,0,10,10,0.55,0.0
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,True,1,11,10,0.625,0.0
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,True,1,11,11,0.6,0.333
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,0,10,11,0.575,0.5
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,True,1,11,10,0.58,0.6
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,True,2,12,11,0.583,0.667
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,True,3,13,12,0.593,0.714
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,3,11,13,0.606,0.75
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,True,3,11,11,0.589,0.778
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,2,12,11,0.58,0.8
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,False,3,13,12,0.586,0.818
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,False,3,11,13,0.592,0.75
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,True,3,11,11,0.581,0.692
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,True,3,13,11,0.575,0.714
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,True,3,14,13,0.583,0.733
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,True,3,14,14,0.594,0.75
v9,v9_11,11,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,True,3,12,14,0.603,0.765
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,1,True,0,10,,,
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,2,True,0,10,10,0.75,1.0
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,3,False,0,10,10,0.625,1.0
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,4,True,0,10,10,0.617,0.667
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,5,True,0,10,10,0.575,0.75
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,6,True,0,10,10,0.6,0.8
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,7,True,5,15,10,0.617,0.833
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,8,True,0,10,15,0.621,0.857
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,9,True,0,10,10,0.613,0.875
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,10,False,0,10,10,0.617,0.889
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,11,True,10,16,10,0.6,0.8
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,12,False,10,15,16,0.595,0.818
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,13,True,0,10,15,0.588,0.75
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,14,True,10,18,10,0.596,0.769
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,15,True,0,10,18,0.596,0.786
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,16,False,10,22,10,0.6,0.8
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,17,True,5,13,22,0.609,0.75
v9,v9_12,12,MiniMax-M2.7,explicit_orthogonality,high,fair_high,18,True,10,15,13,0.606,0.765
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,1,False,5,13,,,
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,2,False,5,13,13,0.5,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,3,False,5,13,13,0.525,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,4,False,5,13,13,0.533,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,5,False,5,12,13,0.525,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,6,False,5,15,12,0.51,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,7,False,5,13,15,0.542,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,8,False,5,14,13,0.543,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,9,True,5,15,14,0.55,0.0
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,10,False,5,12,15,0.567,0.111
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,11,False,5,13,12,0.555,0.1
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,12,True,5,14,13,0.55,0.091
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,13,False,5,16,14,0.554,0.167
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,14,False,5,15,16,0.569,0.154
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,15,False,5,15,15,0.579,0.143
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,16,False,5,15,15,0.583,0.133
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,17,True,5,15,15,0.588,0.125
v9,v9_49,49,MiniMax-M2.7,natural,low,fair_high,18,True,5,16,15,0.591,0.176
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,1,False,5,13,,,
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,2,False,7,12,13,0.55,0.0
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,3,False,6,13,12,0.5,0.0
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,4,False,8,15,13,0.5,0.0
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,5,False,4,14,15,0.512,0.0
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,6,True,7,18,14,0.54,0.0
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,7,False,7,13,18,0.567,0.167
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,8,False,6,12,13,0.557,0.143
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,9,False,5,13,12,0.544,0.125
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,10,True,7,13,13,0.544,0.111
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,11,True,6,16,13,0.54,0.2
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,12,False,6,15,16,0.55,0.273
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,13,False,5,15,15,0.554,0.25
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,14,False,7,19,15,0.562,0.231
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,15,False,6,15,19,0.575,0.214
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,16,True,5,15,15,0.577,0.2
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,17,False,5,15,15,0.584,0.25
v9,v9_50,50,MiniMax-M2.7,natural,low,fair_high,18,False,5,16,15,0.591,0.235
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,1,False,0,10,,,
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,2,False,0,10,10,0.5,0.0
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,3,False,0,10,10,0.5,0.0
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,4,False,0,10,10,0.517,0.0
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,5,True,0,10,10,0.5,0.0
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,6,False,0,10,10,0.52,0.2
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,7,False,0,10,10,0.525,0.167
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,8,False,0,10,10,0.55,0.143
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,9,False,0,10,10,0.55,0.125
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,10,False,0,10,10,0.544,0.111
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,11,False,0,10,10,0.565,0.1
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,12,True,0,10,10,0.577,0.091
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,13,False,0,10,10,0.588,0.167
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,14,True,0,10,10,0.577,0.154
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,15,False,0,10,10,0.582,0.214
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,16,False,0,10,10,0.587,0.2
v9,v9_51,51,MiniMax-M2.7,natural,low,fair_high,17,True,0,10,10,0.597,0.188
